CustomerID,Age,Gender,Tenure_Months,Contract_Type,Monthly_Charges,Total_Charges,Num_Products,Support_Tickets,Satisfaction_Score,Payment_Method,Internet_Service,Region,Churn
CUST-2487,47.0,Female,57.0,month-to-month,87.74,5093.6,2.0,1.0,4.0,Credit Card,fiber optic,North,No
CUST-2026,44.0,M,,Month-to-Month,21.91,1319.96,1.0,10.0,2.0,Bank Transfer,No,North,No
CUST-1354,35.0,F,71.0,One Year,31.1,2284.86,2.0,8.0,2.0,,Fiber Optic,East,Yes
CUST-1669,56.0,F,69.0,Month-to-Month,71.67,4949.94,3.0,13.0,3.0,,DSL,South,No
CUST-1643,68.0,male,52.0,Two Year,59.25,,1.0,13.0,3.0,Mailed Check,,North,Yes
CUST-1244,34.0,male,,Two Year,74.17,5151.58,2.0,7.0,3.0,Mailed Check,DSL,,Yes
CUST-1059,19.0,male,12.0,One Year,71.74,923.45,2.0,8.0,1.0,Mailed Check,DSL,South,No
CUST-1598,33.0,M,20.0,Two Year,,1574.69,1.0,11.0,2.0,Electronic Check,DSL,,No
CUST-1237,56.0,M,49.0,One Year,116.11,,3.0,13.0,4.0,Electronic Check,Fiber Optic,South,No
CUST-1500,70.0,male,6.0,One Year,51.19,277.64,3.0,1.0,3.0,Mailed Check,Fiber Optic,,No
CUST-1030,61.0,Female,8.0,One Year,79.84,681.98,1.0,12.0,5.0,Electronic Check,No,East,No
CUST-1352,42.0,Male,70.0,month-to-month,26.6,1823.99,3.0,5.0,2.0,Electronic Check,No,,No
CUST-2365,22.0,Female,26.0,Month-to-Month,25.7,612.68,2.0,0.0,2.0,Mailed Check,,,No
CUST-1821,48.0,F,68.0,Month-to-Month,26.84,1859.1,2.0,8.0,3.0,,fiber optic,,No
CUST-1836,55.0,F,60.0,Month-to-Month,,1903.62,2.0,14.0,,Mailed Check,,West,No
CUST-1303,45.0,Male,69.0,Month-to-Month,102.75,7023.94,3.0,7.0,2.0,,,North,No
CUST-1481,51.0,F,66.0,One Year,31.15,2064.53,4.0,3.0,3.0,Bank Transfer,fiber optic,East,No
CUST-2049,43.0,F,44.0,One Year,70.01,3088.93,3.0,10.0,3.0,Bank Transfer,fiber optic,North,No
CUST-2287,50.0,Female,45.0,One Year,78.32,3445.82,1.0,7.0,5.0,Electronic Check,,West,No
CUST-1518,,female,55.0,One Year,49.98,2810.96,2.0,7.0,3.0,Electronic Check,Fiber Optic,North,Yes
